"ParticipantID","TrialType","TrialDuration","TrialNumber","PracticeTrial","FractalId","RandomTarget1","RandomTarget2","TargetId","Clicks"
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,1,1,17,57,16,16,0
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,2,1,0,46,61,46,0
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,3,0,23,56,18,56,0
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,4,0,22,0,19,0,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,5,0,21,15,11,15,3
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,6,0,11,34,25,34,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,7,0,2,28,42,28,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,8,0,1,4,40,40,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,9,0,5,54,33,54,3
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,10,0,29,39,36,36,5
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,11,0,6,6,17,6,6
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,12,0,13,52,26,26,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,13,0,25,30,59,30,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,14,0,18,58,7,7,5
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,15,0,7,5,23,23,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,16,0,8,21,41,21,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,17,0,27,1,29,1,5
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,18,0,10,35,53,53,3
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,19,0,19,9,51,51,3
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,20,0,24,24,45,45,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,21,0,15,12,13,13,4
"a3d040db-d41f-9aa3-9bcb-de9335c8f149",1,1000,22,0,4,31,62,62,3